,station,valid,tmpf,dwpf,relh,feel
13580,DFW,2020-02-12 21:08,46.0,42.1,86.16,39.82
13590,DFW,2020-02-12 21:53,46.0,42.1,86.16,41.36
13597,DFW,2020-02-12 22:24,46.0,41.0,82.58,40.16
13604,DFW,2020-02-12 22:53,46.9,41.0,79.82,42.47
13614,DFW,2020-02-12 23:36,46.9,41.0,79.82,44.82
13618,DFW,2020-02-12 23:53,46.0,39.9,79.13,42.39
13631,DFW,2020-02-13 00:53,46.0,41.0,82.58,43.02
13638,DFW,2020-02-13 01:24,44.1,39.9,85.06,40.77
13645,DFW,2020-02-13 01:53,43.0,39.0,85.66,38.78
13658,DFW,2020-02-13 02:53,42.1,39.0,88.67,38.39
13663,DFW,2020-02-13 03:53,43.0,39.9,88.71,37.66
13667,DFW,2020-02-13 04:53,43.0,39.0,85.66,37.19
13680,DFW,2020-02-13 05:53,41.0,37.9,88.62,37.08
13693,DFW,2020-02-13 06:53,39.9,37.0,89.27,35.04
13706,DFW,2020-02-13 07:53,41.0,37.9,88.62,34.25
13719,DFW,2020-02-13 08:53,39.9,37.0,89.27,32.45
13732,DFW,2020-02-13 09:53,39.9,36.0,85.81,31.69
13735,DFW,2020-02-13 10:02,39.9,37.0,89.27,31.69
13742,DFW,2020-02-13 10:32,39.0,36.0,88.87,30.91
13747,DFW,2020-02-13 10:53,39.0,35.1,85.76,29.85
13760,DFW,2020-02-13 11:53,39.9,34.0,79.25,30.42
13773,DFW,2020-02-13 12:53,39.9,34.0,79.25,31.02
13786,DFW,2020-02-13 13:53,39.9,34.0,79.25,30.72
13797,DFW,2020-02-13 14:53,39.9,33.1,76.44,31.35
13810,DFW,2020-02-13 15:53,39.9,33.1,76.44,32.06
13823,DFW,2020-02-13 16:53,39.0,30.9,72.45,30.91
13836,DFW,2020-02-13 17:53,39.9,32.0,73.14,34.41
13849,DFW,2020-02-13 18:53,39.9,30.9,69.96,33.34
13862,DFW,2020-02-13 19:53,41.0,30.9,67.03,34.7
13875,DFW,2020-02-13 20:53,41.0,30.9,67.03,35.75
13886,DFW,2020-02-13 21:42,43.0,30.9,62.06,36.37
13889,DFW,2020-02-13 21:53,43.0,30.9,62.06,38.19
13902,DFW,2020-02-13 22:53,44.1,30.0,57.37,39.02
13915,DFW,2020-02-13 23:53,41.0,30.0,64.63,35.2
13928,DFW,2020-02-14 00:53,39.0,28.9,66.79,33.31
13941,DFW,2020-02-14 01:53,36.0,28.0,72.43,29.65
13954,DFW,2020-02-14 02:53,34.0,28.0,78.43,27.94
13967,DFW,2020-02-14 03:53,35.1,27.0,72.04,26.86
13980,DFW,2020-02-14 04:53,34.0,21.9,60.83,24.99
13993,DFW,2020-02-14 05:53,32.0,21.0,63.45,22.0
14006,DFW,2020-02-14 06:53,30.0,19.0,63.18,21.65
14019,DFW,2020-02-14 07:53,28.0,19.0,68.57,20.71
14032,DFW,2020-02-14 08:53,27.0,18.0,68.45,19.51
14045,DFW,2020-02-14 09:53,26.1,19.0,74.16,19.39
14058,DFW,2020-02-14 10:53,26.1,19.9,77.06,19.39
14071,DFW,2020-02-14 11:53,25.0,19.9,80.66,17.1
14084,DFW,2020-02-14 12:53,25.0,19.0,77.62,17.1
14097,DFW,2020-02-14 13:53,28.0,21.0,74.67,22.75
14110,DFW,2020-02-14 14:53,30.9,19.9,63.31,24.21
14123,DFW,2020-02-14 15:53,34.0,21.9,60.83,29.76
14136,DFW,2020-02-14 16:53,37.9,24.1,57.18,35.43
14149,DFW,2020-02-14 17:53,41.0,27.0,57.15,37.93
14162,DFW,2020-02-14 18:53,44.1,28.9,54.85,40.77
14175,DFW,2020-02-14 19:53,46.9,30.9,53.5,44.82
14188,DFW,2020-02-14 20:53,48.9,32.0,51.89,45.88
14201,DFW,2020-02-14 21:53,50.0,33.1,52.06,
14214,DFW,2020-02-14 22:53,50.0,33.1,52.06,
14227,DFW,2020-02-14 23:53,48.0,33.1,56.1,44.8
14240,DFW,2020-02-15 00:53,43.0,33.1,67.82,38.78
14253,DFW,2020-02-15 01:53,43.0,33.1,67.82,39.46
14266,DFW,2020-02-15 02:53,43.0,34.0,70.3,38.19
14279,DFW,2020-02-15 03:53,43.0,34.0,70.3,39.46
14292,DFW,2020-02-15 04:53,41.0,33.1,73.25,37.08
14305,DFW,2020-02-15 05:53,41.0,32.0,70.08,35.75
14318,DFW,2020-02-15 06:53,41.0,32.0,70.08,35.2
14331,DFW,2020-02-15 07:53,41.0,33.1,73.25,34.7
14344,DFW,2020-02-15 08:53,41.0,32.0,70.08,33.84
14357,DFW,2020-02-15 09:53,41.0,32.0,70.08,33.84
14370,DFW,2020-02-15 10:53,39.0,32.0,75.75,32.74
14383,DFW,2020-02-15 11:53,37.9,32.0,79.08,33.4
14396,DFW,2020-02-15 12:53,39.9,33.1,76.44,33.84
14409,DFW,2020-02-15 13:53,39.9,34.0,79.25,32.87
14422,DFW,2020-02-15 14:53,44.1,37.0,75.93,38.56
14435,DFW,2020-02-15 15:53,48.0,39.0,70.85,42.37
14448,DFW,2020-02-15 16:53,53.1,39.9,60.73,
14461,DFW,2020-02-15 17:53,55.9,41.0,57.23,
14474,DFW,2020-02-15 18:53,60.1,43.0,53.15,
14487,DFW,2020-02-15 19:53,62.1,44.1,51.64,
14500,DFW,2020-02-15 20:53,63.0,46.0,53.78,
14513,DFW,2020-02-15 21:53,62.1,46.9,57.43,
14526,DFW,2020-02-15 22:53,61.0,48.9,64.37,
14539,DFW,2020-02-15 23:53,59.0,48.0,66.83,
14552,DFW,2020-02-16 00:53,57.0,48.9,74.27,
14565,DFW,2020-02-16 01:53,57.0,48.9,74.27,
14578,DFW,2020-02-16 02:53,55.0,48.9,79.85,
14591,DFW,2020-02-16 03:53,55.0,48.9,79.85,
14604,DFW,2020-02-16 04:53,55.0,50.0,83.2,
14617,DFW,2020-02-16 05:53,55.0,50.0,83.2,
14630,DFW,2020-02-16 06:53,54.0,50.0,86.29,
14643,DFW,2020-02-16 07:53,53.1,48.9,85.59,
14656,DFW,2020-02-16 08:53,52.0,48.9,89.13,
14669,DFW,2020-02-16 09:53,51.1,48.9,92.14,
14682,DFW,2020-02-16 10:53,50.0,48.0,92.8,
14695,DFW,2020-02-16 11:53,50.0,48.0,92.8,
14708,DFW,2020-02-16 12:53,48.0,46.9,95.95,44.28
14721,DFW,2020-02-16 13:53,50.0,48.9,95.98,
14734,DFW,2020-02-16 14:53,54.0,51.1,89.88,
14747,DFW,2020-02-16 15:53,60.1,51.1,72.13,
14760,DFW,2020-02-16 16:53,66.0,52.0,60.6,
14773,DFW,2020-02-16 17:53,69.1,52.0,54.45,
14786,DFW,2020-02-16 18:53,72.0,52.0,49.33,
14799,DFW,2020-02-16 19:53,75.0,52.0,44.59,
14812,DFW,2020-02-16 20:53,77.0,52.0,41.72,
14825,DFW,2020-02-16 21:53,77.0,52.0,41.72,
14838,DFW,2020-02-16 22:53,77.0,51.1,40.36,
14851,DFW,2020-02-16 23:53,73.0,54.0,51.33,
14864,DFW,2020-02-17 00:53,68.0,53.1,58.88,
14877,DFW,2020-02-17 01:53,66.9,55.9,67.74,
14890,DFW,2020-02-17 02:53,64.9,55.9,72.61,
14903,DFW,2020-02-17 03:53,64.0,55.0,72.52,
14916,DFW,2020-02-17 04:53,63.0,55.9,77.61,
14929,DFW,2020-02-17 05:53,59.0,55.9,89.44,
14942,DFW,2020-02-17 06:53,57.9,57.0,96.81,
14955,DFW,2020-02-17 07:53,59.0,57.0,93.07,
14968,DFW,2020-02-17 08:53,59.0,57.9,96.13,
14981,DFW,2020-02-17 09:53,57.9,57.0,96.81,
14994,DFW,2020-02-17 10:53,57.9,57.0,96.81,
15007,DFW,2020-02-17 11:53,59.0,57.9,96.13,
15020,DFW,2020-02-17 12:53,59.0,57.9,96.13,
15031,DFW,2020-02-17 13:42,60.1,59.0,96.15,
15034,DFW,2020-02-17 13:53,61.0,59.0,93.12,
15039,DFW,2020-02-17 14:11,61.0,60.1,96.85,
15045,DFW,2020-02-17 14:37,62.1,60.1,93.16,
15049,DFW,2020-02-17 14:53,63.0,60.1,90.25,
15062,DFW,2020-02-17 15:53,68.0,61.0,78.3,
15075,DFW,2020-02-17 16:53,70.0,61.0,73.11,
15088,DFW,2020-02-17 17:53,73.9,61.0,64.07,
15101,DFW,2020-02-17 18:53,75.9,59.0,55.8,
15114,DFW,2020-02-17 19:53,77.0,59.0,53.8,
15127,DFW,2020-02-17 20:53,77.0,60.1,55.95,
15140,DFW,2020-02-17 21:53,78.1,59.0,51.88,
15153,DFW,2020-02-17 22:53,75.0,63.0,66.27,
15166,DFW,2020-02-17 23:53,73.0,63.0,70.87,
15179,DFW,2020-02-18 00:53,70.0,62.1,76.01,
15188,DFW,2020-02-18 01:34,68.0,48.0,48.73,
15193,DFW,2020-02-18 01:53,66.9,48.0,50.62,
15206,DFW,2020-02-18 02:53,63.0,48.0,57.99,
15219,DFW,2020-02-18 03:53,60.1,48.0,64.26,
15232,DFW,2020-02-18 04:53,60.1,48.0,64.26,
15245,DFW,2020-02-18 05:53,61.0,48.9,64.37,
15258,DFW,2020-02-18 06:53,61.0,48.0,62.23,
15271,DFW,2020-02-18 07:53,61.0,48.0,62.23,
15284,DFW,2020-02-18 08:53,60.1,48.9,66.46,
15297,DFW,2020-02-18 09:53,60.1,52.0,74.57,
15310,DFW,2020-02-18 10:53,60.1,53.1,77.65,
15323,DFW,2020-02-18 11:53,60.1,53.1,77.65,
15330,DFW,2020-02-18 12:24,57.0,55.9,96.1,
15337,DFW,2020-02-18 12:53,55.9,55.9,100.0,
15341,DFW,2020-02-18 13:08,55.9,54.0,93.32,
15348,DFW,2020-02-18 13:38,54.0,52.0,92.92,
15352,DFW,2020-02-18 13:53,53.1,52.0,96.03,
15355,DFW,2020-02-18 14:01,53.1,52.0,96.03,
15360,DFW,2020-02-18 14:21,52.0,48.9,89.13,
15367,DFW,2020-02-18 14:53,51.1,44.1,76.86,
15380,DFW,2020-02-18 15:53,51.1,41.0,68.23,
15393,DFW,2020-02-18 16:53,48.0,41.0,76.58,41.04
15405,DFW,2020-02-18 17:49,48.2,37.4,66.05,41.78
15407,DFW,2020-02-18 17:53,50.0,37.9,62.98,
15410,DFW,2020-02-18 18:03,48.0,39.9,73.38,41.52
15414,DFW,2020-02-18 18:20,46.9,41.0,79.82,41.3
15417,DFW,2020-02-18 18:33,48.9,42.1,77.26,43.51
15422,DFW,2020-02-18 18:53,48.9,41.0,74.05,45.38
15425,DFW,2020-02-18 19:01,48.9,39.9,70.95,43.82
15428,DFW,2020-02-18 19:12,48.0,41.0,76.58,41.79
15430,DFW,2020-02-18 19:19,48.0,42.1,79.91,43.03
15438,DFW,2020-02-18 19:53,51.1,39.9,65.38,
15451,DFW,2020-02-18 20:53,54.0,39.0,56.74,
15464,DFW,2020-02-18 21:53,54.0,37.9,54.34,
15477,DFW,2020-02-18 22:53,54.0,39.0,56.74,
15490,DFW,2020-02-18 23:53,53.1,39.0,58.64,
15503,DFW,2020-02-19 00:53,53.1,37.9,56.17,
15516,DFW,2020-02-19 01:53,53.1,37.9,56.17,
15529,DFW,2020-02-19 02:53,52.0,37.9,58.48,
15542,DFW,2020-02-19 03:53,52.0,39.0,61.06,
15555,DFW,2020-02-19 04:53,50.0,39.0,65.75,
15568,DFW,2020-02-19 05:53,48.0,37.9,67.87,43.41
15581,DFW,2020-02-19 06:53,46.9,37.0,68.27,41.3
15594,DFW,2020-02-19 07:53,46.0,37.0,70.64,40.52
15607,DFW,2020-02-19 08:53,45.0,37.0,73.37,38.89
15620,DFW,2020-02-19 09:53,43.0,36.0,76.12,37.19
15633,DFW,2020-02-19 10:53,42.1,35.1,76.04,35.23
15646,DFW,2020-02-19 11:53,42.1,35.1,76.04,35.23
15659,DFW,2020-02-19 12:53,41.0,35.1,79.34,34.7
15672,DFW,2020-02-19 13:53,41.0,35.1,79.34,35.2
15685,DFW,2020-02-19 14:53,43.0,36.0,76.12,37.19
15698,DFW,2020-02-19 15:53,46.0,36.0,67.9,40.16
15711,DFW,2020-02-19 16:53,46.9,37.0,68.27,41.3
15724,DFW,2020-02-19 17:53,48.0,37.9,67.87,43.82
15737,DFW,2020-02-19 18:53,48.9,39.0,68.51,44.93
15750,DFW,2020-02-19 19:53,48.9,39.0,68.51,45.88
15763,DFW,2020-02-19 20:53,48.0,39.0,70.85,46.98
15776,DFW,2020-02-19 21:53,46.0,43.0,89.2,44.69
15779,DFW,2020-02-19 22:03,46.0,43.0,89.2,43.77
15785,DFW,2020-02-19 22:28,46.0,43.0,89.2,44.69
15791,DFW,2020-02-19 22:53,45.0,44.1,96.63,43.55
15794,DFW,2020-02-19 23:04,45.0,44.1,96.63,
15799,DFW,2020-02-19 23:24,45.0,44.1,96.63,40.63
15801,DFW,2020-02-19 23:29,45.0,44.1,96.63,40.13
15807,DFW,2020-02-19 23:53,45.0,44.1,96.63,41.19
15812,DFW,2020-02-20 00:12,45.0,44.1,96.63,40.63
15814,DFW,2020-02-20 00:19,45.0,44.1,96.63,40.63
15817,DFW,2020-02-20 00:27,45.0,44.1,96.63,39.68
15819,DFW,2020-02-20 00:35,45.0,44.1,96.63,39.68
15823,DFW,2020-02-20 00:53,45.0,44.1,96.63,39.68
15836,DFW,2020-02-20 01:53,43.0,39.9,88.71,36.0
15843,DFW,2020-02-20 02:21,42.1,39.9,91.84,34.51
15850,DFW,2020-02-20 02:53,42.1,41.0,95.84,36.07
15855,DFW,2020-02-20 03:11,42.1,41.0,95.84,36.55
15862,DFW,2020-02-20 03:42,42.1,41.0,95.84,36.07
15865,DFW,2020-02-20 03:53,42.1,41.0,95.84,35.63
15878,DFW,2020-02-20 04:53,42.1,39.9,91.84,36.55
15891,DFW,2020-02-20 05:53,42.1,41.0,95.84,37.09
15898,DFW,2020-02-20 06:22,42.1,41.0,95.84,37.09
15905,DFW,2020-02-20 06:53,42.1,41.0,95.84,37.69
15916,DFW,2020-02-20 07:42,42.1,41.0,95.84,35.63
15919,DFW,2020-02-20 07:53,42.1,41.0,95.84,34.18
15921,DFW,2020-02-20 08:00,42.1,39.9,91.84,33.58
15932,DFW,2020-02-20 08:53,42.1,41.0,95.84,36.07
15938,DFW,2020-02-20 09:17,42.1,39.9,91.84,36.07
15946,DFW,2020-02-20 09:53,41.0,39.9,95.82,32.76
15949,DFW,2020-02-20 10:04,41.0,39.9,95.82,33.1
15960,DFW,2020-02-20 10:53,41.0,39.9,95.82,32.15
15970,DFW,2020-02-20 11:40,41.0,39.0,92.52,32.45
15972,DFW,2020-02-20 11:48,41.0,39.2,93.24,33.46
15974,DFW,2020-02-20 11:53,41.0,39.0,92.52,32.45
15987,DFW,2020-02-20 12:53,41.0,39.0,92.52,33.1
15993,DFW,2020-02-20 13:18,41.0,37.9,88.62,33.84
16001,DFW,2020-02-20 13:53,42.1,37.9,84.93,33.87
16014,DFW,2020-02-20 14:53,43.0,39.0,85.66,36.0
16027,DFW,2020-02-20 15:53,45.0,37.9,76.01,37.11
16040,DFW,2020-02-20 16:53,46.9,37.0,68.27,40.66
16053,DFW,2020-02-20 17:53,48.9,35.1,58.75,42.45
16066,DFW,2020-02-20 18:53,51.1,35.1,54.13,
16079,DFW,2020-02-20 19:53,53.1,35.1,50.28,
16092,DFW,2020-02-20 20:53,54.0,36.0,50.42,
16105,DFW,2020-02-20 21:53,50.0,34.0,53.97,
16118,DFW,2020-02-20 22:53,48.0,34.0,58.16,40.6
16131,DFW,2020-02-20 23:53,44.1,33.1,65.02,35.68
16144,DFW,2020-02-21 00:53,43.0,30.9,62.06,34.23
16157,DFW,2020-02-21 01:53,42.1,30.9,64.24,33.31
16170,DFW,2020-02-21 02:53,39.9,30.0,67.45,31.69
16183,DFW,2020-02-21 03:53,39.9,28.9,64.49,31.69
16196,DFW,2020-02-21 04:53,37.9,28.9,69.73,29.13
16209,DFW,2020-02-21 05:53,37.0,28.0,69.63,28.79
16222,DFW,2020-02-21 06:53,36.0,27.0,69.51,27.98
16235,DFW,2020-02-21 07:53,35.1,26.1,69.41,25.16
16248,DFW,2020-02-21 08:53,33.1,25.0,71.82,23.86
16261,DFW,2020-02-21 09:53,33.1,25.0,71.82,22.58
16274,DFW,2020-02-21 10:53,32.0,25.0,75.07,23.51
16287,DFW,2020-02-21 11:53,30.9,23.0,72.18,25.09
16300,DFW,2020-02-21 12:53,30.0,23.0,74.87,21.65
16313,DFW,2020-02-21 13:53,32.0,21.9,65.92,24.11
16326,DFW,2020-02-21 14:53,34.0,21.9,60.83,26.0
16339,DFW,2020-02-21 15:53,37.0,21.0,51.99,33.26
16352,DFW,2020-02-21 16:53,39.9,19.9,44.29,35.04
16365,DFW,2020-02-21 17:53,41.0,18.0,39.12,38.98
16378,DFW,2020-02-21 18:53,43.0,17.1,34.84,40.27
16391,DFW,2020-02-21 19:53,46.0,16.0,29.63,43.02
16404,DFW,2020-02-21 20:53,46.9,19.0,32.59,
16417,DFW,2020-02-21 21:53,46.9,14.0,26.25,45.72
16430,DFW,2020-02-21 22:53,48.0,16.0,27.48,46.98
16443,DFW,2020-02-21 23:53,46.0,16.0,29.63,43.77
16456,DFW,2020-02-22 00:53,43.0,15.1,31.94,40.27
16469,DFW,2020-02-22 01:53,43.0,17.1,34.84,41.26
16482,DFW,2020-02-22 02:53,43.0,17.1,34.84,40.27
16495,DFW,2020-02-22 03:53,41.0,24.1,50.67,37.93
16508,DFW,2020-02-22 04:53,42.1,27.0,54.78,40.23
16521,DFW,2020-02-22 05:53,42.1,28.0,57.08,37.69
16534,DFW,2020-02-22 06:53,42.1,28.0,57.08,40.23
16547,DFW,2020-02-22 07:53,39.9,28.0,62.15,35.04
16560,DFW,2020-02-22 08:53,42.1,30.0,61.94,39.21
16573,DFW,2020-02-22 09:53,42.1,30.0,61.94,38.39
16586,DFW,2020-02-22 10:53,42.1,30.9,64.24,37.69
16599,DFW,2020-02-22 11:53,42.1,30.9,64.24,38.39
16612,DFW,2020-02-22 12:53,41.0,30.9,67.03,36.37
16625,DFW,2020-02-22 13:53,43.0,32.0,64.88,37.66
16638,DFW,2020-02-22 14:53,45.0,32.0,60.11,39.68
16651,DFW,2020-02-22 15:53,48.9,34.0,56.23,43.51
16664,DFW,2020-02-22 16:53,50.0,34.0,53.97,
16677,DFW,2020-02-22 17:53,53.1,35.1,50.28,
16690,DFW,2020-02-22 18:53,54.0,36.0,50.42,
16703,DFW,2020-02-22 19:53,55.9,37.0,48.95,
16716,DFW,2020-02-22 20:53,55.9,37.9,50.71,
16729,DFW,2020-02-22 21:53,55.9,37.9,50.71,
16742,DFW,2020-02-22 22:53,54.0,37.9,54.34,
16755,DFW,2020-02-22 23:53,53.1,37.0,54.21,
16768,DFW,2020-02-23 00:53,52.0,36.0,54.26,
16781,DFW,2020-02-23 01:53,51.1,36.0,56.1,
16794,DFW,2020-02-23 02:53,50.0,36.0,58.44,
16807,DFW,2020-02-23 03:53,50.0,36.0,58.44,
16820,DFW,2020-02-23 04:53,48.9,36.0,60.88,45.38
16833,DFW,2020-02-23 05:53,48.0,37.0,65.51,44.28
16846,DFW,2020-02-23 06:53,48.0,37.0,65.51,44.8
16859,DFW,2020-02-23 07:53,48.9,37.9,65.62,44.93
16872,DFW,2020-02-23 08:53,48.9,39.0,68.51,44.16
16885,DFW,2020-02-23 09:53,48.9,41.0,74.05,44.16
16898,DFW,2020-02-23 10:53,48.0,41.0,76.58,44.8
16911,DFW,2020-02-23 11:53,46.9,42.1,83.28,43.48
16924,DFW,2020-02-23 12:53,46.0,43.0,89.2,43.02
16936,DFW,2020-02-23 13:49,50.0,46.4,87.37,
16938,DFW,2020-02-23 13:53,50.0,46.0,86.06,
16946,DFW,2020-02-23 14:29,52.0,46.9,82.68,
16952,DFW,2020-02-23 14:53,53.1,48.0,82.76,
16962,DFW,2020-02-23 15:37,55.0,48.9,79.85,
16966,DFW,2020-02-23 15:53,55.9,50.0,80.52,
16979,DFW,2020-02-23 16:53,55.9,50.0,80.52,
16992,DFW,2020-02-23 17:53,57.9,51.1,78.03,
17005,DFW,2020-02-23 18:53,57.9,52.0,80.67,
17013,DFW,2020-02-23 19:26,57.0,52.0,83.33,
17019,DFW,2020-02-23 19:53,57.0,52.0,83.33,
17024,DFW,2020-02-23 20:11,55.9,52.0,86.71,
17033,DFW,2020-02-23 20:53,55.9,53.1,90.29,
17042,DFW,2020-02-23 21:32,55.0,54.0,96.42,
17047,DFW,2020-02-23 21:53,54.0,54.0,100.0,
17060,DFW,2020-02-23 22:53,54.0,54.0,100.0,
17073,DFW,2020-02-23 23:53,55.0,55.0,100.0,
17086,DFW,2020-02-24 00:53,55.9,55.0,96.78,
17099,DFW,2020-02-24 01:53,57.0,55.9,96.1,
17109,DFW,2020-02-24 02:37,57.9,57.0,96.81,
17113,DFW,2020-02-24 02:53,57.9,57.9,100.0,
17126,DFW,2020-02-24 03:53,59.0,57.9,96.13,
17139,DFW,2020-02-24 04:53,60.1,57.9,92.43,
17152,DFW,2020-02-24 05:53,60.1,57.9,92.43,
17165,DFW,2020-02-24 06:53,60.1,59.0,96.15,
17178,DFW,2020-02-24 07:53,61.0,59.0,93.12,
17191,DFW,2020-02-24 08:53,59.0,57.0,93.07,
17204,DFW,2020-02-24 09:53,57.9,54.0,86.82,
17217,DFW,2020-02-24 10:53,57.0,52.0,83.33,
17230,DFW,2020-02-24 11:53,55.0,50.0,83.2,
17243,DFW,2020-02-24 12:53,53.1,43.0,68.46,
17256,DFW,2020-02-24 13:53,52.0,41.0,66.0,
17269,DFW,2020-02-24 14:53,54.0,39.9,58.76,
17282,DFW,2020-02-24 15:53,55.9,39.9,54.83,
17295,DFW,2020-02-24 16:53,59.0,39.9,49.04,
17308,DFW,2020-02-24 17:53,61.0,39.9,45.67,
17321,DFW,2020-02-24 18:53,64.0,39.9,41.09,
17334,DFW,2020-02-24 19:53,64.9,41.0,41.55,
17347,DFW,2020-02-24 20:53,64.9,41.0,41.55,
17360,DFW,2020-02-24 21:53,64.9,42.1,43.36,
17373,DFW,2020-02-24 22:53,64.0,41.0,42.88,
17386,DFW,2020-02-24 23:53,63.0,41.0,44.41,
17399,DFW,2020-02-25 00:53,57.9,43.0,57.51,
17412,DFW,2020-02-25 01:53,55.0,42.1,61.69,
17425,DFW,2020-02-25 02:53,52.0,42.1,68.86,
17438,DFW,2020-02-25 03:53,51.1,42.1,71.19,
17451,DFW,2020-02-25 04:53,48.0,41.0,76.58,43.41
17464,DFW,2020-02-25 05:53,48.0,41.0,76.58,43.41
17477,DFW,2020-02-25 06:53,46.0,39.9,79.13,41.36
17490,DFW,2020-02-25 07:53,45.0,39.9,82.19,40.63
17503,DFW,2020-02-25 08:53,44.1,39.9,85.06,40.1
17516,DFW,2020-02-25 09:53,44.1,39.9,85.06,39.02
17529,DFW,2020-02-25 10:53,43.0,39.9,88.71,38.19
17542,DFW,2020-02-25 11:53,43.0,39.0,85.66,37.19
17555,DFW,2020-02-25 12:53,41.0,39.0,92.52,35.75
17568,DFW,2020-02-25 13:53,45.0,39.9,82.19,39.68
17581,DFW,2020-02-25 14:53,46.0,39.9,79.13,40.52
17594,DFW,2020-02-25 15:53,51.1,39.9,65.38,
17607,DFW,2020-02-25 16:53,53.1,41.0,63.38,
17620,DFW,2020-02-25 17:53,54.0,39.9,58.76,
17633,DFW,2020-02-25 18:53,57.0,39.0,50.88,
17646,DFW,2020-02-25 19:53,57.9,37.9,47.18,
17659,DFW,2020-02-25 20:53,60.1,32.0,34.49,
17672,DFW,2020-02-25 21:53,59.0,28.9,31.63,
17685,DFW,2020-02-25 22:53,57.9,28.9,32.9,
17698,DFW,2020-02-25 23:53,55.0,28.9,36.54,
17711,DFW,2020-02-26 00:53,53.1,28.0,37.74,
17724,DFW,2020-02-26 01:53,51.1,26.1,37.57,
17737,DFW,2020-02-26 02:53,48.9,25.0,38.95,42.0
17750,DFW,2020-02-26 03:53,46.9,26.1,43.95,40.97
17763,DFW,2020-02-26 04:53,45.0,25.0,45.12,38.55
17776,DFW,2020-02-26 05:53,42.1,27.0,54.78,33.31
17789,DFW,2020-02-26 06:53,39.9,28.9,64.49,30.72
17802,DFW,2020-02-26 07:53,41.0,30.9,67.03,31.6
17805,DFW,2020-02-26 08:01,41.0,30.9,67.03,31.6
17816,DFW,2020-02-26 08:53,39.9,33.1,76.44,28.93
17829,DFW,2020-02-26 09:53,39.9,32.0,73.14,28.93
17842,DFW,2020-02-26 10:53,39.9,32.0,73.14,29.63
17855,DFW,2020-02-26 11:53,39.0,33.1,79.17,27.72
17868,DFW,2020-02-26 12:53,39.0,30.9,72.45,27.08
17881,DFW,2020-02-26 13:53,37.9,28.0,67.2,26.24
17894,DFW,2020-02-26 14:53,39.0,27.0,61.78,29.85
17907,DFW,2020-02-26 15:53,39.9,24.1,52.88,29.39
17920,DFW,2020-02-26 16:53,42.1,24.1,48.56,33.04
17933,DFW,2020-02-26 17:53,44.1,23.0,42.95,34.19
17946,DFW,2020-02-26 18:53,46.0,23.0,39.96,39.21
17959,DFW,2020-02-26 19:53,46.9,21.9,36.87,39.14
17972,DFW,2020-02-26 20:53,48.0,21.9,35.38,40.6
17985,DFW,2020-02-26 21:53,48.0,21.0,34.05,40.6
17998,DFW,2020-02-26 22:53,48.0,19.0,31.27,40.6
18011,DFW,2020-02-26 23:53,46.0,18.0,32.3,38.42
18024,DFW,2020-02-27 00:53,44.1,19.0,36.25,37.4
18037,DFW,2020-02-27 01:53,42.1,19.9,40.67,35.63
18050,DFW,2020-02-27 02:53,39.0,21.0,48.06,32.22
18063,DFW,2020-02-27 03:53,37.0,21.9,54.01,30.87
18076,DFW,2020-02-27 04:53,37.9,21.9,52.13,33.4
18089,DFW,2020-02-27 05:53,37.0,21.9,54.01,33.26
18102,DFW,2020-02-27 06:53,33.1,25.0,71.82,
18115,DFW,2020-02-27 07:53,34.0,21.9,60.83,
18128,DFW,2020-02-27 08:53,32.0,23.0,69.04,26.4
18141,DFW,2020-02-27 09:53,32.0,23.0,69.04,24.78
18154,DFW,2020-02-27 10:53,28.0,21.9,77.57,19.9
18167,DFW,2020-02-27 11:53,28.9,21.9,74.76,21.8
18180,DFW,2020-02-27 12:53,28.9,24.1,82.0,21.8
18193,DFW,2020-02-27 13:53,34.0,26.1,72.52,27.94
18206,DFW,2020-02-27 14:53,39.9,24.1,52.88,32.87
18219,DFW,2020-02-27 15:53,45.0,21.9,39.62,39.68
18232,DFW,2020-02-27 16:53,48.9,21.9,34.2,43.22
18245,DFW,2020-02-27 17:53,52.0,21.9,30.49,
18258,DFW,2020-02-27 18:53,54.0,21.9,28.33,
18271,DFW,2020-02-27 19:53,57.0,23.0,26.61,
18284,DFW,2020-02-27 20:53,59.0,24.1,25.93,
18297,DFW,2020-02-27 21:53,61.0,21.9,22.02,
18310,DFW,2020-02-27 22:53,61.0,19.9,20.23,
18323,DFW,2020-02-27 23:53,59.0,21.0,22.76,
18336,DFW,2020-02-28 00:53,51.1,21.9,31.52,
18349,DFW,2020-02-28 01:53,52.0,26.1,36.34,
18362,DFW,2020-02-28 02:53,50.0,26.1,39.14,
18375,DFW,2020-02-28 03:53,46.9,28.0,47.54,42.47
18388,DFW,2020-02-28 04:53,48.0,27.0,43.77,42.07
18401,DFW,2020-02-28 05:53,46.9,27.0,45.62,41.3
18414,DFW,2020-02-28 06:53,43.0,28.0,55.14,39.46
18427,DFW,2020-02-28 07:53,42.1,27.0,54.78,38.39
18440,DFW,2020-02-28 08:53,43.0,26.1,50.98,37.66
18453,DFW,2020-02-28 09:53,44.1,28.9,54.85,39.02
18466,DFW,2020-02-28 10:53,41.0,28.9,61.79,35.75
18479,DFW,2020-02-28 11:53,39.9,30.0,67.45,35.04
18492,DFW,2020-02-28 12:53,39.0,32.0,75.75,33.31
